racing_number,position,gap_seconds,laps_behind,interval_seconds,catching,overtake_state,is_leader,leader_lap,pit_stops,is_out,timestamp_ms
16,,0.969,0,0.158,,,false,,,,3405760
63,,1.367,0,0.398,,,false,,,,3406141
41,,,0,,,neutral,false,,,,3406427
30,,,0,,,neutral,false,,,,3406429
10,,1.825,0,0.458,,,false,,,,3406654
6,7,,0,,,lost_position,false,,,,3406766
87,6,,0,,,gained_position,false,,,,3406766
87,,1.982,0,0.157,,,false,,,,3406860
6,,2.046,0,0.064,,,false,,,,3407106
14,,,0,,,neutral,false,,,,3407187
77,,,0,,,neutral,false,,,,3407197
11,,,0,,,neutral,false,,,,3407292
27,,,0,,,neutral,false,,,,3407296
43,,2.533,0,0.487,,,false,,,,3407675
31,10,,0,,,lost_position,false,,,,3408236
41,9,,0,,,gained_position,false,,,,3408236
31,9,,0,,,gained_position,false,,,,3408283
41,10,,0,,,lost_position,false,,,,3408283
41,,2.918,0,,,,false,,,,3408331
31,,2.905,0,0.372,,,false,,,,3408377
30,,3.279,0,0.361,,,false,,,,3408533
55,,3.434,0,0.155,,,false,,,,3408769
14,,3.71,0,0.276,,,false,,,,3408845
12,,0.75,0,0.75,,,false,,,,3408924
77,,4.219,0,0.509,,,false,,,,3409158
16,,0.923,0,0.173,,,false,,,,3409174
27,15,,0,,,gained_position,false,,,,3409236
11,16,,0,,,lost_position,false,,,,3409236
27,,4.557,0,0.338,,,false,,,,3409314
3,16,,0,,,gained_position,false,,,,3409424
11,17,,0,,,,false,,,,3409424
3,,4.778,0,0.221,,,false,,,,3409517
63,,1.407,0,0.484,,,false,,,,3409580
10,,1.96,0,0.553,,,false,,,,3410172
87,,1.988,0,0.028,,,false,,,,3410212
6,,2.127,0,0.139,,,false,,,,3410414
18,17,,0,,,gained_position,false,,,,3410655
11,18,,0,,,,false,,,,3410655
18,,6.016,0,1.238,,,false,,,,3410745
43,,2.646,0,0.519,,,false,,,,3410864
31,10,,0,,,lost_position,false,,,,3411152
41,9,,0,,,gained_position,false,,,,3411152
41,,2.971,0,0.325,,,false,,,,3411234
31,,3.049,0,0.078,,,false,,,,3411314
30,,3.43,0,0.381,,,false,,,,3411675
87,,,0,,,neutral,false,,,,3411755
6,,,0,,,neutral,false,,,,3411755
55,,3.506,0,0.076,,,false,,,,3411796
14,,3.795,0,0.289,,,false,,,,3412116
12,,0.628,0,0.628,,,false,,,,3412455
16,,0.82,0,0.192,,,false,,,,3412572
77,,4.482,0,0.687,,,false,,,,3412660
27,,4.877,0,0.395,,,false,,,,3413068
63,,1.396,0,0.576,,,false,,,,3413141
3,,5.051,0,0.174,,,false,,,,3413225
41,,,0,,,neutral,false,,,,3413241
31,,,0,,,neutral,false,,,,3413260
10,,1.938,0,0.542,,,false,,,,3413676
87,,1.94,0,0.002,,,false,,,,3413729
6,,2.069,0,0.129,,,false,,,,3413875
27,,,0,,,neutral,false,,,,3414229
43,,2.602,0,0.533,,,false,,,,3414351
18,,6.184,0,1.133,,,false,,,,3414361
3,,,0,,,neutral,false,,,,3414426
41,,2.896,0,0.294,,,false,,,,3414668
31,,3.215,0,0.319,,,false,,,,3414951
30,,3.351,0,0.136,,,false,,,,3415141
55,,3.533,0,0.182,,,false,,,,3415286
14,,3.749,0,0.216,,,false,,,,3415506
18,,,0,,,neutral,false,,,,3415647
11,,,0,,,neutral,false,,,,3415651
77,,4.475,0,0.726,,,false,,,,3416257
11,,11.863,0,5.847,,,false,,,,3416528
27,,5.034,0,0.559,,,false,,,,3416794
3,,5.077,0,0.043,,,false,,,,3416860
18,,6.234,0,1.157,,,false,,,,3417969
12,,0.784,0,0.784,,,false,,,,3419667
16,,1.027,0,0.243,,,false,,,,3419996
63,,1.682,0,0.655,,,false,,,,3420575
11,,12.698,0,6.514,,,false,,,,3420866
10,,2.293,0,0.611,,,false,,,,3421242
6,6,,0,,,gained_position,false,,,,3421576
87,7,,0,,,lost_position,false,,,,3421576
6,,2.57,0,0.277,,,false,,,,3421673
87,,2.575,0,0.005,,,false,,,,3421696
43,,3.423,0,0.848,,,false,,,,3422503
41,,3.626,0,0.203,,,false,,,,3422860
31,11,,0,,,lost_position,false,,,,3423077
30,10,,0,,,gained_position,false,,,,3423077
30,,4.013,0,0.387,,,false,,,,3423167
12,,0.712,0,0.712,,,false,,,,3423376
31,12,,0,,,,false,,,,3423396
55,13,,0,,,lost_position,false,,,,3423396
14,11,,0,,,gained_position,false,,,,3423396
14,,4.351,0,0.338,,,false,,,,3423475
16,,0.993,0,0.281,,,false,,,,3423660
31,13,,0,,,,false,,,,3423697
55,12,,0,,,gained_position,false,,,,3423697
55,,4.666,0,0.315,,,false,,,,3423775
31,12,,0,,,gained_position,false,,,,3423826
55,13,,0,,,lost_position,false,,,,3423826
31,,4.423,0,0.072,,,false,,,,3423914
63,,1.597,0,0.604,,,false,,,,3424287
77,,5.172,0,0.506,,,false,,,,3424299
3,15,,0,,,gained_position,false,,,,3424491
27,16,,0,,,lost_position,false,,,,3424491
3,,5.522,0,0.35,,,false,,,,3424569
11,,13.08,0,6.846,,,false,,,,3424850
